"---PBT Bankroll Export---"
id,starttime,endtime,breakminutes,playingminutes,variant,game,limit,tablesize,location,type,currency,exchangerate,buyin,cashout,netprofit,grossprofit,rebuys,rebuycosts,addoncosts,bounties,bountycosts,smallblind,bigblind,3rdblind,ante,expenses,expensesfromstack,handsperhour,place,player,itm,mttname,startstack,private,casinoid,staking,stakingpercent,sharesincomings,sharesoutgoings,stakingplayer,sessionnote,tags,notes,chipgraph,updatetimes
7569515,"2025-04-02 18:40:00","2025-04-03 00:56:00",0,376,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1590,840,840,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7563352,"2025-04-01 20:10:00","2025-04-02 01:20:00",0,310,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1335,585,585,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7557467,"2025-03-31 18:36:00","2025-04-01 00:50:00",0,374,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,1150,590,-560,-560,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,"Put it good with AK (turn)T9 made two pair on the river, about 1000$ pot. 

7/10",,[],[],[]
7544526,"2025-03-29 13:10:00","2025-03-30 01:12:00",0,722,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,1610,1185,-425,-425,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7537197,"2025-03-28 17:15:00","2025-03-29 01:00:00",0,465,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,870,120,120,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7529331,"2025-03-27 19:25:00","2025-03-28 01:07:00",0,342,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1450,700,700,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7520934,"2025-03-26 18:42:00","2025-03-27 00:24:00",0,342,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,935,185,185,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7515274,"2025-03-25 18:40:00","2025-03-26 00:27:00",0,347,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,765,15,15,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7508647,"2025-03-24 18:40:00","2025-03-25 00:20:00",0,340,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,760,925,165,165,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,"I autopiloted as fl. AA as BU vs CO he calls.

KTx flop. x i autopilot check back fearing TT 🤣
turn blank he goes 45$ i call
river a blank he goes 75$ i only call. 
He has AK.

the problem isnt the specific holding, but the no -existent thought process. For that sizing on the river he never has two pair plus, and so this is a mandadory value bet.

also checking back flop was bad. i could bet small flop/overbet turn/shove river :(

played each street as badly as i could, most importantly no thought process

1.5/10",,[],[],[]
7436326,"2025-03-14 19:37:00","2025-03-15 00:06:00",0,269,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,1745,750,-995,-995,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,"KK, I 3-bet to $80 on CO, BU, UTG calls.

Flop comes K9Tr UTG checks, I check, BU shoves for 200$, UTG tank calls,Started the hand 800$ effective with UTg, i shoved utg snapped with QJ.

otherwise, found a nice bluff with 44, found a nice fold on the turn 4-way with AA, and madw a bad call vs a fish who bluffs a lot with AK on QQ64 (fish had 99).

Overall i played well, despite being tired and not concentrsting gor the entire session.

7/10",,[],[],[]
7428612,"2025-03-13 19:40:00","2025-03-14 00:57:00",0,317,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,800,1045,245,245,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7422196,"2025-03-12 21:10:00","2025-03-13 00:27:00",0,197,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,840,1100,260,260,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7415523,"2025-03-11 19:12:00","2025-03-12 00:51:00",0,339,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,1650,540,-1110,-1110,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,"I 4-bet QQ vs a guy who 3-bet a lot and just got stacked, he jams i call, he had KK

I shoved QQ on a 98xxx 3-bet board when a fish led 300$ into 450$, thinking that the fish csn do it with JJ/TT, rhe fish had 98s (double called me and the 3-bettor).

i think that both are not terrible plays. I was focused and did think about the hands, the fact that i ran into it is part of poker. 

8/10.",,[],[],[]
7409314,"2025-03-10 18:30:00","2025-03-11 00:09:00",0,339,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,720,1270,550,550,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7388951,"2025-03-07 19:30:00","2025-03-08 00:51:00",0,321,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,800,610,-190,-190,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,"i played the last hand bad, i had AK, raised to 60$ from sb, BU calls. flop 944 i bet 50$ he calls. turn K i check he bet $80 i call abd put him on a pp. river 4 and i checked.

i should have bet river. hand reading ability becomes really good, balls, focusing and not auto piloting-bad.

6.5/10",,[],[],[]
7357812,"2025-03-03 21:21:00","2025-03-03 21:21:00",,,Jackpot/Bonus,,,,Playground,Casino,CAD,1,0,200,200,200,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,
7357811,"2025-03-03 21:20:00","2025-03-04 01:11:00",0,231,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1310,560,560,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7344219,"2025-03-01 17:00:00","2025-03-02 00:14:00",0,434,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,745,955,210,210,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7337810,"2025-02-28 20:00:00","2025-03-01 01:40:00",0,340,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,749,-1,-1,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7329692,"2025-02-27 23:48:00","2025-02-27 23:48:00",,,Jackpot/Bonus,,,,Playground,Casino,CAD,1,0,800,800,800,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,
7329689,"2025-02-27 18:20:00","2025-02-28 00:55:00",0,395,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1605,855,855,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7323009,"2025-02-26 18:30:00","2025-02-27 00:28:00",0,358,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,735,570,-165,-165,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7250052,"2025-02-15 19:00:00","2025-02-16 01:30:00",0,390,Tournament,Holdem,"No Limit",Full-Ring,Playground,Casino,CAD,1,150,310,160,160,0,0,0,0,,0,0,,0,0,,25,0,0,0,,0,no,,no,0,0,0,,,,[],[],[]
7228680,"2025-02-12 19:30:00","2025-02-13 00:45:00",0,315,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1485,735,735,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7203212,"2025-02-08 15:40:00","2025-02-09 00:22:00",0,522,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,745,385,-360,-360,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7196573,"2025-02-07 18:00:00","2025-02-08 02:41:00",0,521,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1720,970,970,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7188012,"2025-02-06 20:00:00","2025-02-07 01:05:00",0,305,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,1550,930,-620,-620,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7179740,"2025-02-05 20:00:00","2025-02-06 00:45:00",0,285,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,350,-400,-400,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7174292,"2025-02-04 19:15:00","2025-02-05 01:15:00",0,360,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1600,850,850,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7164367,"2025-02-03 18:42:00","2025-02-04 00:42:00",0,360,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,95,-655,-655,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,"played bad those teo hands:

1. AJ on AJ4 teo hearts flop, i check-raise min click, and then checked on 98 turn and river vs a fish who had a flush draw

2. I called on the river in a 3-bet pot as a very tight player with JJ just because he checked flop on K8847 board-he never bluffs there.",,[],[],[]
7151134,"2025-02-01 17:00:00","2025-02-02 00:45:00",0,465,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1465,715,715,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7071774,"2025-01-21 18:30:00","2025-01-22 00:48:00",0,378,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,700,689,-11,-11,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7066636,"2025-01-20 19:00:00","2025-01-21 04:40:00",0,580,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,700,-50,-50,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7044945,"2025-01-17 18:00:00","2025-01-18 00:10:00",0,370,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1060,310,310,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7037235,"2025-01-16 18:45:00","2025-01-17 00:50:00",0,365,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,725,-25,-25,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7030424,"2025-01-15 18:20:00","2025-01-16 00:26:00",0,366,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,745,1052,307,307,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7025090,"2025-01-14 18:20:00","2025-01-15 01:00:00",0,400,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,730,465,-265,-265,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7016240,"2025-01-13 18:35:00","2025-01-14 00:35:00",0,360,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1630,880,880,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
7002855,"2025-01-11 14:05:00","2025-01-12 00:09:00",0,604,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,1250,1630,380,380,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,"i was down $600 when a tilted whale donated 800$ when i check-raised AA preflop in a straddled pot",,[],[],[]
6993594,"2025-01-10 16:45:00","2025-01-10 23:45:00",0,420,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1350,600,600,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
6987127,"2025-01-09 18:31:00","2025-01-10 00:51:00",0,380,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,735,970,235,235,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
6981028,"2025-01-08 19:40:00","2025-01-09 01:00:00",0,320,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,1550,800,800,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,"flopped quad J",,[],[],[]
6974378,"2025-01-07 18:30:00","2025-01-08 00:10:00",0,340,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,927,177,177,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
6956559,"2025-01-04 18:30:00","2025-01-05 01:10:00",0,400,"Cash Game","Texas Holdem","No Limit",Full-Ring,Playground,Casino,CAD,1,750,695,-55,-55,0,0,,,,2,5,0,0,0,0,25,,,,,,no,,no,0,0,0,,,,[],[],[]
